Cliff Townshend
Stuart Reardon
Anya Major
Gem Archer
Anne Hathaway (Shakespeare)
Charles Armstrong-Jones
Serena Armstrong-Jones, Viscountess Linley
Lancelot And Guinevere
Sir Guy of Gisborne and Lady Marion of Knighton
Sparx
Anya Linden
Janet Woolcoot
Elaine Usher
Peter Brame
Nathan Stewart-Jarrett
Simon Rix
Dave Cunliffe
Nick Hodgson
Kent Ehrhardt
Lucy Westerman
Ryan Gage
Maid Marian
Merlin
Ian Samwell
Tarn Bassett
Aaron Stainthorpe
Stephen Ward
Sydney Howard
Lisa Carrick
Sarah Sands
Tina Obrien
Graham Payn
Nick Shrim
Jenny Harper
Agatha Lintott
Bill Legend
William Donaldson
Anne Boleyn
Alex Noble
Patricia Davies
Susan Thatcher
Aaron Sidwell
Django Stewart
Liam McGough
Guy Birtwhistle
Andy Moss
Emma Crosby
Michael McIntyre
Oliver Dimsdale
Kim Woodburn
Joseph Gatt
Gareth Coombes
Ruth Langsford
Rupert Hill
David Icke
Simon Jenkins
Bertie Highmore
Sally Dynevor
Gillian Vaughan
Robin Stewart
Valerie Shute
Guy Rolfe
Mary Quant
Des O'Connor
Simon Merrells
Simon Ludders
Adam Leadbeater
Philip Latham
Alan Howard
Richard Heffer
Nicholas Guccione
Chris Gascoyne
Michael French
Violet Carson
Adrian Brown
Arthur Brough
Ace Bhatti
Joseph Bennett
Phyllis Barry
April Ashley
Layla Ellison
Vanessa Bell
Jimmy White
Thomas Brown
Moray Watson
Joanna Thaw
Nicky Henson
Dick Emery
Edward Randell
Roy Hay
Paul Varley
Joan Harrison
Heathcote Williams
John Porter
Miles Mander
Joy Major
Ian Wallace
Michael Gothard
Janet Bowen
Kemistry
Tolga Safer
Richard Hughes
Patric Knowles
Matthew James Thomas
Mark Bazeley
Glen Matlock
Edmund Gwenn
May Whitty
Crispin Bonham-Carter
Craig Kelly
Charles Darwin
Bruce Robinson
Phil Daniels
Jemma Kidd
Hugh Hudson
Anne Reid
Adam Fogerty
Charlotte Brontë
Charles Dickens
Barry Mannakee
Jim Christie
Eric Swayne
Lindsey (stripper)
Elinor Glyn
Mary Shelley
Mike Skinner
Amanda Dawkins
Sara Stockbridge
Louisa Milwood-Haigh
Joanna Rhodes
Quentin Crisp
Sean Gilder
John Shrapnel
David Rappaport
Nicolas Roeg
Kathleen Harrison
Fay Compton
Doris Lloyd
Chrissie White
Chili Bouchier
Celia Johnson
Betty Ann Davies
Stanley Holloway
Donald Crisp
Clive Brook
Arthur Askey
Colin Baker
Lord Douglas
W.H. Auden
Tarquin Olivier
Scott Handy
Sarah-Jane Morris
Roland Young
Ralph Forbes
Raffaello Degruttola
Penelope Dudley-Ward
Paul Scofield
Nigel Planer
Neil Forrester
Mark E. Smith
Lionel Atwill
Justin Chancellor
John Twist
Jennifer Brooks
Jacqueline Pirie
Isobel Elsom
George Orwell
Darren Matthews
Carol Reed
Arthur C. Clarke
Adam Shaw
Trevor Nunn
Roger Hargreaves
Reg Kray
Kenneth Tynan
James Hadley Chase
Benjamin Britten
Adrian Edmondson
Mitch Mitchell
Taylor Regan (UK)
Jack Patterson (musician)
Mairead Nash
Rupert William Leon
Jena Goldsack
Charley Bagnall
Jamie Morrison
Jacky Vincent
Anthony Flemming-Mueller
Alex Clayton Payne
Jake Lees
Harry Graves
Catherine Parr Queen Consort
Chesca Miles
Valery Iommi
Darren Emerson
Sharon Van Wyk
Tracey Boyle
Matt Milne
Ayse Ferguson
Alice Margaret Crook
Anita De Bauch
Hayley Sams
Milly Hedgeland
Chloe Hayward
Jade Parfitt
Aaron Wildig
Asad Shan
Sonny Drane
Mary Boleyn
Elizabeth Moses
Samuel Brooks
Ruth McCartney
René Berg
Pauline Bull
Edwina Brudenell
Ben Goldsmith
Peter Paphides
Luke Donald
Catherine Eddowes
Samanda
Marty Willson-Piper
Tim Staffell
A. V. Dicey
Princess Louise, Duchess of Argyll
Arthur, Prince of Wales
Prince Albert Victor, Duke of Clarence and Avondale
Diana Mitford
Elizabeth of York
Elizabeth Woodville
George V of the United Kingdom
Edward IV of England
Harold Godwinson
Edward V of England
Mary I of England
Peter Phillips
Austin Dickinson
Jordan Barrett
Lesley Langley
Paul Inder
Sarah Grenville
Jeanetta Jones
Josephine Morris
Adam Brown
Gail
Graham Hill
Robert Carleton-Munro
Louise Harrison
Jez Strode
Nick Baines
Jessica Monroe
Dr. Chud
Tex Axile
Sally Scott
Simon Taylor-Davies
Sam Attwater
Elizabeth Miklosi
Nancy Welford
Jareth the Goblin King
Lady Godiva
Rosie Bonham Carter
Veruca Salt
Will Shakespeare
Mary Tudor
Robin Hood
Nikki Harrup
Virginia Haggard McNeil
Margaret Leahy
Ben Watts
Elizabeth Tudor
Queen Elizabeth I
England
Jamie Pearce
Sally Meen
Harriet Westbrook
Herbert Blaché
Kathy Diamond
Jay Howard
Scott Wright
Charlie McDonald
Maureen Scarfe
Ed Graham
Christian Paris
Allan Holdsworth
Kenneth Halliwell
Florence Arliss
John Perry
Catherine Howard
Dawn Molloy
Diana Hall
Geraldine McGovern
Emrhys Cooper
Andrew White
Sean Ward
Tom Lister
Paul Burchill
Jon Stephen
George Zucco
Pat Thomson
Michael Sundin
Sam Stockman
Martin Stephens
Athene Seyler
Fanny Rowe
Simon Rouse
Clifford Rose
Elisabeth Risdon
Donald Pickering
Cecil Parker
Ross Noble
Leonard Mudie
Ann Mitchell
Lizzy McInnerny
Eily Malyon
Tamara Lees
Jordan
Linda Hooks
Halliwell Hobbes
Violet Hilton
Holmes Herbert
Sonita Henry
Eva Hart
Suzanne Hall
Hughie Green
Lawrence Grant
David Farrar
Cathal J. Dodd
Toni Dimitriou
Mike d'Abo
Melville Cooper
Lord Byron
A.S. Byatt
Harold Bennett
Edward Ashley
Barbara Archer
Malcolm Tierney
Herbert Mundin
Lester Matthews
Joanne Harris
Lucy Fleming
Henry Daniell
Adam Buxton
Andrew Birkin
Jack Raine
Robert Day
Simon Laffy
Suzanne Jerome
Arthur Howard
Bruce Lester
Nej Adamson
Neil Marshall
Martha Fiennes
Jessica Osbourne
Jennifer Baker
Helen Fielding
Elizabeth Gaskell
Chris Morris
Alice Amter
Marek Kanievska
Garth Jennings
David Yates
Frank Miles
Rosemary Ferguson
James Miller
Deborah Warner
Jeny Howorth
Emma Jacobs
Emily Fitzroy
Alyson Spiro
Adie Allen
Ronald Howard
Sir Charles Hawtrey
John Schlesinger
Margaret Wycherly
Enid Stamp-Taylor
John Bentley
Felix Aylmer
Eric Blore
Anthony Bushell
Wendy Hall
Victoria Hamson
Tarquin Gotch
Richard Durden
Paul Jones
Michael Anderson
Ken Jones
Juliette Hohnen
Judith Stott
John Rodion
Eileen Derbyshire
Douglas Fielding
Derek Francis
Colin Dexter
Cecil Coan
C.P. Booth
Anna Russell
Alexandra Anne
Adam Jennings
P.D. James
Michael Howard
Mark Haddon
Carol Ann Duffy
Laura-Mary Carter (musician)
Laura Jones (instagram)
Chloe Francis
Tom Guinness
Alice Larkin
Jane Ormsby-Gore
Kathryn Biddle
Luke Spiller
Isobelle Molloy
Kevin Clifton
Isla Phillips
Edward Holcroft
Cathryn Helen Wigglesworth
Diane Ann
Harold Harrison
Georgina May Egan
Richard Henry Parkin Starkey
Jane Seymour
Margaret Shelton Mistress
Nora Gainsborough
Irene Malin
Nick Hissom
Brian Lidstone.
Kitty Ward
Barbara Salisbury 1
Julian Seager
Ratisha Belush
Scarlett Burdock
Danny McIntosh
Scott Chambers
Alex Devon Johnson
Margaret Augusta Eliot
Michael Middleton
Géraldine Lynton
Doctor P
Ruby True
Jonny Clarke
Bella Hardy
Henry II of England
Rachael Carr
Valerie Mewes
Kate Elson
Pippa Mann
Adam Blythe
Jay Nichols
Douglas McCarthy
Sidney Leslie Goodwin
Bronwen Astor
Adam Miller (footballer)
Emma Parker Bowles
Adam Griffin
Edward Molyneux
Emily Mann (model)
Nifa and Nishan Hindes
Phil Mogg
Carolyn Owlett
Mike Heron
Maria Rubia
Edward Bonham Carter
Jennifer Lash
Mark Fiennes
Lady Caroline Blackwood
Roy Thomas Baker
Catherine Willoughby, 12th Baroness Willoughby de Eresby
Andrew Smith Hallidie
Alexandra Kitchin
Sarah Jezebel Deva
Doug Williams (wrestler)
David Ormsby-Gore, 5th Baron Harlech
Lady May Abel Smith
Charles Brandon, 1st Duke of Suffolk
Abdus Salam
Prince Leopold, Duke of Albany
Prince Arthur, Duke of Connaught and Strathearn
Bryan Guinness, 2nd Baron Moyne
John Ruskin
Margaret Tudor
Mary Tudor, Queen of France
Anne Neville
Empress Matilda
Edward III of England
Richard I of England
Richard III of England
Jonathan Swift
Edward VI of England
Oscar Kennedy
Josh Knox
Gareth Chamberlain
Richard Johnson
Kate Middleton
Lionel Bart
A.L. Lloyd
Alex Bain
Charlotte Beaumont
Freddie Fingers Lee
Chris Kennedy
Mark Brzezicki
Adam Boulton
Tom Shaw
Stephanie Hinchliffe Davies
Asif Zubairy
Bee Gilbert
Wilfred Owen
John Squire
Ben Turner
Ada Reeve
Leila Williams
Peter Ashmore
Carol Booth
Veronica Doran
Hilda Barry
Alan White
Phil Soussan
Mick Rock
Tim Worman
Libby
Georgia Nicolson
George Boleyn
Geraldine Sherman
Johanna Bennett
Antoinette Cellier
Anne Bassett
John Middleton Murry
Kenneth Wagg
Tony Stevens
Pat O'Hara
William Holman Hunt
Alexis
Victoria Ward
Edith Nesbit
Julius Caesar
Dante Gabriel Rossetti
Charlie Barker
Aubrey Beardsley
Arthur Christopher Benson
Lauren Shotten
Adam Bond
Sue Denim
Tanya Streeter
Matt Morgan
David Armand
Bella Freud
Mary Ann Nichols
Sonny Flood
Giant Haystacks
David Weston
Paul Watson
Gary Watson
John Sullivan
Marlene Sidaway
Edwin Richfield
John Nettleton
Georgina Moon
Paul Shane
Roger McGough
Moore Marriott
Eliot Makeham
Ben Maguire
Murray Kinnell
James Kenney
M.R. James
Brandon Hurst
Jeffrey Holland
Derek Godfrey
Etienne Girardot
Franklin Dyall
Reginald Sheffield
Max Clifford
Edward Chapman
Syd Chaplin
John Cater
Lucy Beaumont
Susan Baker
Christian Williams
Byron Webster
Daniel Miller
Jonathan Darby
Lionel Belmore
Jameson Thomas
Christopher Ryan
John Ringham
Jonny Phillips
Oris Erhuero
Basil Dignam
Catherine Cusack
Nora Cecil
Peter Bull
Christopher Benjamin
Adam F
Seth Lakeman
James Fearnley
Sam Golzari
Gaby Dellal
Chris Watson
Adam Curtis
Garrick Hagon
Professor Sprout
Paul Collingwood
Judith Paris
Nigel De Brulier
Sean Barry-Weske
Ray Brady
Nancy Mitford
Janine Law
Jacqueline Williams
Colin Bowman
Bob Cryer
Betty Bryant
Amy Eldon
Penelope Lively
J.G. Ballard
John Jay
Havelock Ellis
Victoria Ormsby-Gore
Clare Craze
Helen MelonLady
Lou Hayter
Anoushka Done
Fred Macpherson
Rafferty Law
Bella Ramsey
Cordelia Hill
Adam Slack
Alex Sharp
Jan Butler
Bip Ling
Lisa Ronaghan
Tommy Mallet
Lady Jane Grey
Elena Bonham Carter
Charlotte Pallister
Honor Plantagenet, Viscountess Lisle
Hayley Joanne Bacon
Stuart Croxford Neale
Connie Gilchrist, Countess of Orkney
The 1975
David Ramsey Foster
Hugh Gibb
Daniel Wilding
Jean Millar Howard
Faith Stone
Sally Bauman Howard
William Heelis
Elizabeth Brooke Lady Wyatt
Nargis Javany
Colson Smith
Fanny Cornforth
Emma Wedgwood
Kathy Best
Darius Dar Khan
Adam Dibble
Brian Howard (poet)
Nigel Mogg (musician)
Tom Scurr
Beth Throgmorton
Steve Templeton
Danielle Clare Symonds
Lucy Sykes
Tristan Morby
Mike Kleinsteuber
Naomi Louise
Michael Etherington
Andrée Bernard
Murder of Meredith Kercher
John More (judge)
Adam Fairclough
Anne Brandon, Baroness Grey of Powys
Annie Miller
Mat Mitchel-King
Amy Roselle
Rupert Croft-Cooke
Christian Neal Capes
Elizabeth Howard, Duchess of Norfolk
Anne Herbert, Countess of Pembroke
Wayne Dobson
Andrew Wood (diplomat)
Robert D'Onston Stephenson
Elizabeth Carew
Elizabeth Amadas
Charly Coombes
Jessica Hart
Mary FitzRoy, Duchess of Richmond and Somerset
Anne Burras
Edward the Elder
Dorothy Dene
Anne Hastings, Countess of Huntingdon
Gregory Cromwell, 1st Baron Cromwell
Adam Legzdins
David Richards (record producer)
Cecily of York
Mary Seymour
Gizz Butt
Jim Moray
Violet Astor, Baroness Astor of Hever
William Parr, 1st Marquess of Northampton
Lucy Ferry
Gerry Laffy
Frances Grey, Duchess of Suffolk
Anne Seymour, Duchess of Somerset
Catherine Carey
Anne Askew
Henrietta Moraes
Catherine Woodville, Duchess of Buckingham
Hugh Despenser the Younger
Martin Glover
Abdullah Quilliam
Isabel Neville, Duchess of Clarence
Penelope Rich, Lady Rich
Lettice Knollys
Russell Lissack
Lady Mary Grey
Arthur Plantagenet, 1st Viscount Lisle
Wilfrid Scawen Blunt
Samuel Butler (novelist)
Henry Carey, 1st Baron Hunsdon
Elizabeth Seymour, Marchioness of Winchester
Lionel Johnson
Princess Anne of England
Charles Lennox, 1st Duke of Richmond
Henry FitzRoy, 1st Duke of Richmond and Somerset
Elizabeth Blount
Elizabeth Boleyn, Countess of Wiltshire
Lady Davina Lewis
Henry Percy, 6th Earl of Northumberland
Abraham Colles
Richard of Shrewsbury, 1st Duke of York
George Boleyn, Viscount Rochford
Thomas Grey, 1st Marquess of Dorset
Thomas Howard, 3rd Duke of Norfolk
Adeliza of Louvain
Lord Guildford Dudley
John Smith (explorer)
Cecily Neville, Duchess of York
Lady Catherine Grey
Rosalind Franklin
Rosamund Clifford
Richard Plantagenet, 3rd Duke of York
Thomas Seymour, 1st Baron Seymour of Sudeley
Margaret Pole, Countess of Salisbury
Edward Seymour, 1st Duke of Somerset
Thomas Wyatt (poet)
Thomas Boleyn, 1st Earl of Wiltshire
Bess of Hardwick
Henry Stuart, Lord Darnley
John of Gaunt, 1st Duke of Lancaster
Robert Dudley, 1st Earl of Leicester
Robert Devereux, 2nd Earl of Essex
George Plantagenet, 1st Duke of Clarence
Edward II of England
Cnut the Great
Walter Raleigh
William Blake
Mary Wollstonecraft
John, King of England
Jane Shore
Henry I of England
Charles I of England
Helen Bradbury
Sophie Ellis
Clare Asher
Amber Elizabeth
Alan Moorhouse
Harry McEntire
Henry Howard, Earl of Surrey
The Grey Lady
Savannah Stevenson
Laurence Belcher
Anthony
John-Paul Hurley
Nan Astley
Vanessa Greene
Karin MacCarthy
Wendy Orme
Dorothy Boyd
Daniel Nyiri
Rob Coombes
Gareth Jones
Charlie Carrick
Michael Quinn
Lisa George
Frederick Peisley
Hall Caine
Donald Novis
Auriol Lee
Lawrence Ward
Henry B. Longhurst
Grahame Duffield
Ossie Clark
Thomas Culpepper
Bart Allison
Ricky Parkinson
Guilford Dudley
Mary Wollstonecraft Godwin
Emily Bronte
Nearly Headless Nick
Tracy Chevalier
George Tiffin
Mike Mooney
Simon Kelton
Tiara Gold
David H. Watkins
Jane Parker
William Carey
Lady Elizabeth Boleyn
Sir Thomas Boleyn
Sophie Kinsella
Prince John
Archbishop Cranmer
David King
Laurence Hanray
Brian Ackland-Snow
Sandra Howard
Mary Gamble
Jo Pearson
Jenny Bos
Harry
Edward Burne-Jones
Phyllis Konstam
Elsa Buchanan
William Nichols
William Henry Harrison
William Carey
Thomas More
Sir Derek Jacobi
Matthew Bell
Marcia Williams
Anne Bacon
Alfred the Great
Alan Stokes
Gemma Padley
Garnon Davies
Loek Beernink
Daisy-May Bates
Rick Stein
Bradley Hall
Ben Bishop
Gordon Whiting
Viola Tree
Lady Tree
Noel Streatfeild
Guy Standing
Campbell Singer
Joanne Ridley
Robin Phillips
Amy Phillips
Victoria O'Keefe
Kriz Newz
Paul Moriarty
Brewster Mason
Lala Lloyd
Catherine Lacey
Katrina
Godfrey James
Irene Howard
Sally Home
Carleton Hobbs
Donald Hewlett
Philip Maurice Hayes
Debbie Greenwood
Ronald Gow
John Glyn-Jones
Donald Gee
John Forbes-Robertson
Charles Finch
Herbert Evans
Eileen Erskine
Donald Eccles
Hal Dyer
Gerald du Maurier
John Dexter
Jeffrey Chegwin
Colin Bean
Sophie Baker
Frank Baker
John Bailey
George Chapman
Christopher Thompson
Brian Reece
Joan Blackham
Daisy Belmore
Eric Wilton
Kevin Stoney
Wyndham Standing
Rosemary Anne Sisson
George Merritt
Kelly Hunter
Rupert Gregson-Williams
Anne Dyson
Wallis Clark
John Alderson
Freddie Francis
Matthew Hoggard
Sajid Mahmood
Adelaide Neilson
Tom Ricketts
Herbert Beerbohm Tree
Tim Burstall
Stephen Aintree
Mark Austin
Lauretta Lewis
Ken Shane
Geoffrey Adam Shakerley
Deborah Nadoolman
Carlos M. Rosas
Benn W. Levy
Andrew Talbot
Tom Wright (UK)
Sam Burrows
Steffan Halperin
Coco Cole
Oneman (DJ)
Jaimie Hodgson
Alex Scarfe
Charlie Chops
Kayla Jenkins
Rhiannon Jones (designer)
Alexis Taylor
Ben Phillips
Edward John Jackett
