word,synonyms
Sonsorolees,['Sonsorol']
crimineel,"['misdadiger', 'bandiet', 'schurk']"
sinaasappel,"['oranjeappel', 'appelsien']"
a,['la']
calculeren,"['rekenen', 'tellen', 'berekenen', 'uitrekenen']"
calculatie,"['kostenplaatje', 'berekening']"
waarnemen,['gewaarworden']
aanleiding,['reden']
nieuws,['journaal']
toetsenbord,['keyboard']
caravan,"['sleurhut', 'kampeerwagen', 'camper', 'vouwwagen']"
charmeren,"['betoveren', 'bekoren', 'verrukken']"
charme,"['bekoring', 'verleidelijkheid', 'aantrekkelijkheid', 'innemendheid']"
charmeur,"['hartenbreker', 'ladykiller', 'vleier']"
charmant,"['aantrekkelijk', 'bevallig', 'vriendelijk', 'leuk', 'innemend', 'lieftallig']"
carburator,['vergasser']
cariës,['tandbederf']
carrière,"['loopbaan', 'promotie']"
varken,['pogge']
aagt,['haagt']
casino,"['gokpaleis', 'speelzaal', 'speelhuis']"
woord,"['begrip', 'formulering', 'rededeel', 'parool', 'term', 'uitdrukking']"
cassette,['pignon']
catastrofe,"['onheil', 'ramp']"
cycloon,['tyfoon']
banketbakkersroom,['bakkersroom']
aaien,"['liefkozen', 'strelen', 'aanhalen', 'knuffelen', 'flikflooien', 'vrijen']"
water,"['eendenbier', 'gemeentepils']"
Estlands,"['Ests', 'Estisch']"
kan,['karaf']
chocola,['chocolade']
Tokelauaans,['Tokelau']
Tobiaans,['Hatobohei']
e,['de']
vrede,['geweldloosheid']
oblie,['oublie']
ren,"['race', 'rennen', 'wedstrijd']"
verbeelding,['visualisatie']
werkelijk,"['waar', 'waargebeurd', 'heus']"
dichtheid,"['consistentie', 'densiteit', 'dikte']"
overleggen,"['praten', 'bespreken']"
heerlijk,['plezierig']
Singalees,['Sinhala']
Sranantongo,['Surinaams']
betekenis,"['belang', 'belangrijkheid', 'gewicht', 'portee', 'significantie', 'zin', 'zwaarwichtigheid']"
wonderlijk,"['wonderbaarlijk', 'abnormaal', 'opmerkelijk']"
wiel,['rad']
banketletter,['boterletter']
suikeramandel,['praline']
praline,['suikeramandel']
waar,['goederen']
beweging,"['verandering', 'ontwikkeling']"
ontegenzeglijk,"['ontegenzeggelijk', 'ontegensprekelijk', 'onbetwistbaar', 'onweerlegbaar']"
champagne,['champagnewijn']
carnaval,['vastenavondfeest']
koolwaterstof,['koolwaterstofverbinding']
chronologie,['tijdrekenkunde']
circuit,['omloop']
cohesie,['tekstcohesie']
compliment,"['lofprijzing', 'lofuiting', 'loftuiting', 'pluim']"
quota,['quotums']
quotiënt,['Quirinus']
Sinhala,['Singalees']
schip,"['boot', 'schuit', 'vaartuig']"
aardappel,"['pieper', 'patat']"
aardappelkever,['coloradokever']
aanbeveling,"['voorspraak', 'aanprijzing', 'referentie', 'advies']"
wateren,"['pissen', 'plassen', 'urineren']"
Verenigde Staten van Amerika,['Amerika']
Birmees,['Birmaans']
Campidanesisch Sardisch,['Campidanees']
waterpokken,"['windpokken', 'wijnpokken']"
aanbiddelijk,"['aantrekkelijk', 'onweerstaanbaar', 'bekoorlijk', 'charmant', 'alleraardigst', 'schitterend', 'verrukkelijk', 'schattig', 'aanbiddenswaardig', 'aantrekkelijk', 'begeerenswaardig']"
aanbieden,"['aanmonsteren', 'solliciteren']"
aambeeld,['aanbeeld']
smidse,['smederij']
aanbod,['aanbieding']
gemenebest,['statenbond']
aardbei,"['aardbezie', 'zomerkoninkje']"
aarde,"['aardbol', 'aardrijk', 'bol', 'globe', 'planeet', 'terra', 'wereld', 'wereldbol']"
aardbeving,['aardschok']
aardbevingshaard,['hypocentrum']
astronomie,['sterrenkunde']
aardbol,['globe']
aardig,"['vriendelijk', 'sympathiek']"
aardigheid,['lieftalligheid']
planeet,['dwaalster']
aardkloot,"['aardbol', 'aarde', 'aardrijk', 'wereld', 'wereldbol']"
aardkluit,['aardklomp']
aardrijkskunde,['geografie']
aarzelen,"['weifelen', 'dubben', 'haperen', 'schromen', 'talmen']"
onbepaalde wijs,['infinitief']
gebiedende wijs,['imperatief']
persoon,"['mens', 'individu', 'iemand']"
aardleiding,"['aardverbinding', 'aarddraad']"
Lingala,['Ngala']
deelwoord,['participium']
achternaam,['familienaam']
compenseren,"['goedmaken', 'vereffenen']"
balans,['weegschaal']
presente,['actualidad']
present,['aanwezig']
aardmagnetisme,['geomagnetisme']
zonnestelsel,['planetenstelsel']
beige,['Beige']
wesp,['paardenbij']
element,['atoomsoort']
aantonende wijs,['indicatief']
aanvoegende wijs,"['conjunctief', 'subjunctief']"
aanbreken,['aanspreken']
ivoorkleurig,['ivoorkleur']
aandeelhouder,['aandeelhebber']
roe,['roede']
aangenaam,"['plezierig', 'prettig', 'positief', 'lekker', 'leuk', 'aardig']"
aangrenzend,"['aanliggend', 'aanpalend', 'belendend', 'naastgelegen', 'naburig']"
Assamitisch,"['Assamees', 'Assami']"
kers,['kersenboom']
maan,"['satelliet', 'wachter']"
Angelsaksisch,['Oudengels']
pruim,['kwets']
aardschok,['aardbeving']
viool,"['achterste', 'gat', 'reet']"
meer,['plas']
rivier,['stroom']
grapefruit,['pompelmoes']
ei,['eicel']
politieagent,"['politieman', 'diender', 'juut', 'klabak']"
dier,['beest']
