Guy Rolfe
Mary Quant
Des O'Connor
Simon Merrells
Simon Ludders
Adam Leadbeater
Philip Latham
Richard Heffer
Nicholas Guccione
Chris Gascoyne
Michael French
Violet Carson
Arthur Brough
Ace Bhatti
Joseph Bennett
Phyllis Barry
April Ashley
Layla Ellison
Vanessa Bell
Moray Watson
Joanna Thaw
Nicky Henson
Dick Emery
Edward Randell
Roy Hay
Paul Varley
John Porter
Miles Mander
Joy Major
Ian Wallace
Michael Gothard
Janet Bowen
Patric Knowles
Matthew James Thomas
Mark Bazeley
Glen Matlock
Edmund Gwenn
May Whitty
Craig Kelly
Charles Darwin
Phil Daniels
Jemma Kidd
Hugh Hudson
Anne Reid
Adam Fogerty
Charles Dickens
Barry Mannakee
Jim Christie
Eric Swayne
Elinor Glyn
Mary Shelley
Mike Skinner
Amanda Dawkins
Sara Stockbridge
Joanna Rhodes
Quentin Crisp
Sean Gilder
John Shrapnel
Nicolas Roeg
Fay Compton
Doris Lloyd
Chili Bouchier
Betty Ann Davies
Stanley Holloway
Donald Crisp
Clive Brook
Arthur Askey
Lord Douglas
Tarquin Olivier
Scott Handy
Ralph Forbes
Raffaello Degruttola
Paul Scofield
Nigel Planer
Neil Forrester
Lionel Atwill
Justin Chancellor
John Twist
Jennifer Brooks
Jacqueline Pirie
Isobel Elsom
George Orwell
Darren Matthews
Carol Reed
Arthur C. Clarke
Adam Shaw
Trevor Nunn
Roger Hargreaves
Reg Kray
Kenneth Tynan
James Hadley Chase
Benjamin Britten
Adrian Edmondson
Mitch Mitchell
Jack Patterson
Mairead Nash
Rupert William Leon
Jena Goldsack
Charley Bagnall
Jamie Morrison
Jacky Vincent
Alex Clayton Payne
Jake Lees
Harry Graves
Chesca Miles
Valery Iommi
Darren Emerson
Sharon Van Wyk
Tracey Boyle
Matt Milne
Ayse Ferguson
Alice Margaret Crook
Anita De Bauch
Hayley Sams
Milly Hedgeland
Chloe Hayward
Jade Parfitt
Aaron Wildig
Asad Shan
Sonny Drane
Elizabeth Moses
Samuel Brooks
Ruth McCartney
René Berg
Pauline Bull
Edwina Brudenell
Peter Paphides
Luke Donald
Catherine Eddowes
Tim Staffell
Diana Mitford
Elizabeth Woodville
Harold Godwinson
Austin Dickinson
Jordan Barrett
Lesley Langley
Paul Inder
Sarah Grenville
Josephine Morris
Graham Hill
Jez Strode
Nick Baines
Jessica Monroe
Dr. Chud
Tex Axile
Sally Scott
Sam Attwater
Nancy Welford
Lady Godiva
Veruca Salt
Will Shakespeare
Mary Tudor
Robin Hood
Nikki Harrup
Virginia Haggard McNeil
Margaret Leahy
Ben Watts
Jamie Pearce
Sally Meen
Harriet Westbrook
Herbert Blaché
Kathy Diamond
Charlie McDonald
Maureen Scarfe
Ed Graham
Christian Paris
Allan Holdsworth
Kenneth Halliwell
Florence Arliss
John Perry
Dawn Molloy
Geraldine McGovern
Tom Lister
Paul Burchill
Jon Stephen
George Zucco
Pat Thomson
Michael Sundin
Sam Stockman
Martin Stephens
Athene Seyler
Fanny Rowe
Simon Rouse
Clifford Rose
Elisabeth Risdon
Donald Pickering
Cecil Parker
Ross Noble
Leonard Mudie
Lizzy McInnerny
Eily Malyon
Linda Hooks
Halliwell Hobbes
Violet Hilton
Holmes Herbert
Sonita Henry
Eva Hart
Hughie Green
Lawrence Grant
David Farrar
Melville Cooper
Lord Byron
Harold Bennett
Edward Ashley
Barbara Archer
Malcolm Tierney
Herbert Mundin
Lester Matthews
Joanne Harris
Lucy Fleming
Henry Daniell
Adam Buxton
Andrew Birkin
Jack Raine
Robert Day
Simon Laffy
Suzanne Jerome
Bruce Lester
Nej Adamson
Neil Marshall
Martha Fiennes
Jessica Osbourne
Helen Fielding
Elizabeth Gaskell
Alice Amter
Garth Jennings
David Yates
Frank Miles
Rosemary Ferguson
Deborah Warner
Jeny Howorth
Emma Jacobs
Emily Fitzroy
Alyson Spiro
Adie Allen
Ronald Howard
Sir Charles Hawtrey
John Schlesinger
Margaret Wycherly
John Bentley
Felix Aylmer
Eric Blore
Anthony Bushell
Wendy Hall
Victoria Hamson
Tarquin Gotch
Richard Durden
Michael Anderson
Juliette Hohnen
Judith Stott
John Rodion
Eileen Derbyshire
Douglas Fielding
Derek Francis
Colin Dexter
Cecil Coan
Alexandra Anne
Adam Jennings
Mark Haddon
Carol Ann Duffy
Chloe Francis
Tom Guinness
Alice Larkin
Jane Ormsby-Gore
Kathryn Biddle
Luke Spiller
Isobelle Molloy
Kevin Clifton
Edward Holcroft
Cathryn Helen Wigglesworth
Diane Ann
Georgina May Egan
Richard Henry Parkin Starkey
Margaret Shelton Mistress
Nora Gainsborough
Irene Malin
Nick Hissom
Brian Lidstone
Kitty Ward
Julian Seager
Ratisha Belush
Scarlett Burdock
Danny McIntosh
Scott Chambers
Margaret Augusta Eliot
Michael Middleton
Géraldine Lynton
Ruby True
Bella Hardy
Rachael Carr
Valerie Mewes
Kate Elson
Pippa Mann
Adam Blythe
Jay Nichols
Douglas McCarthy
Sidney Leslie Goodwin
Bronwen Astor
Emma Parker Bowles
Adam Griffin
Edward Molyneux
Emily Mann
Phil Mogg
Carolyn Owlett
Mike Heron
Maria Rubia
Jennifer Lash
Mark Fiennes
Lady Caroline Blackwood
Alexandra Kitchin
Sarah Jezebel Deva
Anne Neville
Jonathan Swift
Oscar Kennedy
Josh Knox
Gareth Chamberlain
Kate Middleton
Lionel Bart
Alex Bain
Charlotte Beaumont
Freddie Fingers Lee
Chris Kennedy
Adam Boulton
Tom Shaw
Bee Gilbert
Wilfred Owen
John Squire
Ada Reeve
Peter Ashmore
Carol Booth
Veronica Doran
Hilda Barry
Phil Soussan
Mick Rock
Tim Worman
Georgia Nicolson
Geraldine Sherman
Johanna Bennett
Antoinette Cellier
Anne Bassett
John Middleton Murry
Kenneth Wagg
Tony Stevens
Pat O'Hara
William Holman Hunt
Edith Nesbit
Dante Gabriel Rossetti
Charlie Barker
Aubrey Beardsley
Arthur Christopher Benson
Lauren Shotten
Adam Bond
Sue Denim
Tanya Streeter
David Armand
Bella Freud
Mary Ann Nichols
Sonny Flood
Giant Haystacks
David Weston
John Sullivan
Marlene Sidaway
Edwin Richfield
John Nettleton
Georgina Moon
Paul Shane
Roger McGough
Moore Marriott
Eliot Makeham
Ben Maguire
Murray Kinnell
James Kenney
Brandon Hurst
Jeffrey Holland
Derek Godfrey
Etienne Girardot
Franklin Dyall
Reginald Sheffield
Max Clifford
Syd Chaplin
John Cater
Lucy Beaumont
Byron Webster
Jonathan Darby
Lionel Belmore
Christopher Ryan
John Ringham
Oris Erhuero
Basil Dignam
Catherine Cusack
Nora Cecil
Peter Bull
Christopher Benjamin
Seth Lakeman
James Fearnley
Sam Golzari
Gaby Dellal
Adam Curtis
Garrick Hagon
Professor Sprout
Paul Collingwood
Judith Paris
Nigel De Brulier
Sean Barry-Weske
Ray Brady
Nancy Mitford
Janine Law
Colin Bowman
Bob Cryer
Betty Bryant
Amy Eldon
Penelope Lively
J.G. Ballard
John Jay
Havelock Ellis
Victoria Ormsby-Gore
Clare Craze
Helen MelonLady
Lou Hayter
Anoushka Done
Fred Macpherson
Rafferty Law
Bella Ramsey
Adam Slack
Alex Sharp
Bip Ling
Lisa Ronaghan
Tommy Mallet
Charlotte Pallister
Hayley Joanne Bacon
Stuart Croxford Neale
David Ramsey Foster
Hugh Gibb
Daniel Wilding
Faith Stone
William Heelis
Nargis Javany
Fanny Cornforth
Emma Wedgwood
Kathy Best
Adam Dibble
Nigel Mogg
Tom Scurr
Beth Throgmorton
Steve Templeton
Danielle Clare Symonds
Lucy Sykes
Tristan Morby
Mike Kleinsteuber
Naomi Louise
Michael Etherington
Andrée Bernard
Adam Fairclough
Amy Roselle
Rupert Croft-Cooke
Christian Neal Capes
Wayne Dobson
Robert D'Onston Stephenson
Elizabeth Carew
Elizabeth Amadas
Charly Coombes
Jessica Hart
Mary FitzRoy, Duchess of Richmond and Somerset
Anne Burras
Edward the Elder
Dorothy Dene
David Richards
Gizz Butt
Jim Moray
Lucy Ferry
Gerry Laffy
Catherine Carey
Anne Askew
Henrietta Moraes
Martin Glover
Lettice Knollys
Russell Lissack
Wilfrid Scawen Blunt
Elizabeth Blount
Lady Davina Lewis
Abraham Colles
Lord Guildford Dudley
Cecily Neville
Rosalind Franklin
Rosamund Clifford
Margaret Pole
Edward Seymou
Thomas Wyatt
Henry Stuart
Robert Dudley
Walter Raleigh
William Blake
Jane Shore
Helen Bradbury
Sophie Ellis
Clare Asher
Amber Elizabeth
Alan Moorhouse
Harry McEntire
Savannah Stevenson
Laurence Belcher
John-Paul Hurley
Nan Astley
Vanessa Greene
Karin MacCarthy
Wendy Orme
Dorothy Boyd
Daniel Nyiri
Rob Coombes
Charlie Carrick
Michael Quinn
Lisa George
Frederick Peisley
Hall Caine
Donald Novis
Lawrence Ward
Henry B. Longhurst
Grahame Duffield
Thomas Culpepper
Bart Allison
Ricky Parkinson
Guilford Dudley
Mary Wollstonecraft Godwin
Emily Bronte
Nearly Headless Nick
Tracy Chevalier
George Tiffin
Mike Mooney
Simon Kelton
Tiara Gold
David H. Watkins
Jane Parker
William Carey
Sir Thomas Boleyn
Sophie Kinsella
Prince John
Archbishop Cranmer
Laurence Hanray
Brian Ackland-Snow
Mary Gamble
Jo Pearson
Jenny Bos
Phyllis Konstam
Elsa Buchanan
William Nichols
William Carey
Thomas More
Sir Derek Jacobi
Matthew Bell
Anne Bacon
Alfred the Great
Alan Stokes
Gemma Padley
Loek Beernink
Daisy-May Bates
Rick Stein
Bradley Hall
Ben Bishop
Gordon Whiting
Viola Tree
Lady Tree
Noel Streatfeild
Guy Standing
Campbell Singer
Joanne Ridley
Robin Phillips
Kriz Newz
Paul Moriarty
Lala Lloyd
Catherine Lacey
Godfrey James
Sally Home
Carleton Hobbs
Donald Hewlett
Philip Maurice Hayes
Debbie Greenwood
Ronald Gow
Donald Gee
John Forbes-Robertson
Charles Finch
Herbert Evans
Eileen Erskine
Donald Eccles
Hal Dyer
Gerald du Maurier
John Dexter
Jeffrey Chegwin
Colin Bean
John Bailey
Brian Reece
Joan Blackham
Daisy Belmore
Eric Wilton
Kevin Stoney
Wyndham Standing
Rosemary Anne Sisson
George Merritt
Kelly Hunter
Anne Dyson
John Alderson
Freddie Francis
Matthew Hoggard
Sajid Mahmood
Adelaide Neilson
Tom Ricketts
Herbert Beerbohm Tree
Tim Burstall
Stephen Aintree
Mark Austin
Lauretta Lewis
Ken Shane
Geoffrey Adam Shakerley
Deborah Nadoolman
Carlos M. Rosas
Benn W. Levy
Andrew Talbot
Sam Burrows
Steffan Halperin
Coco Cole
Jaimie Hodgson
Alex Scarfe
Charlie Chops
Kayla Jenkins
Edward John Jackett
Becca Dudley
Robert Aramayo
Steve Gaunt
Chilli Jesson
Sam Fryer
Percy Kelly
Lady Anne
Ella Woodward
Damson Idris
Martha Collison
Pip Andersen
Otho Lloyd
Bloody Baron
Fat Friar
Salazar Slytherin
Helga Hufflepuff
Godric Gryffindor
Rowena Ravenclaw
Sir Henry Stafford
Colin Burt Vidler
Richard Duke of Gloucester
Charlotte Tilbury
Patricia Horsman
Lilian McSween
Christine Macsween
Lauri De Frecce
Harry Pelissier
Jean Compton Mackenzie
Christopher Beauman
Louise Bartle
Richard Nicoll
Tomethy Furse
William Stafford
Alexa Wilding
Edward Mary
Joseph Molyneux
Ethel Whibley
Fred Barnes
Matt Chambers
Chris Rawlinson
Charles Wyndham
Hannah Garner
Halil Zorba
Ruth Herbert
Vicky Skeeles
Mourhrna Reddy
Dan Raynham
Walter Hungerford
Dorothy Bray
Felicity Tree
Catherine Fillol
Kris Deedigan
John Nevill
Pat Booth
Mary Nesbitt
Glenn Hughes
Emily Ovenden
Catherine Dickens
Caroline Duffy
Elizabeth Tilney
Ralph Neville
Carri Mundane
Margery Wentworth
Susan Bertie
Anne Shelton
David Nightingale Hicks
Joyce Culpeper
Angelo Colarossi
Wynne Edwin Baxter
Sarah Wildes
John Netley
Michael Glatze
Frances Radclyffe
Hakan Hayrettin
Elisabeth Parr
Rory Attwell
Jane Dormer
Charles E. Sexey
Mary Ann Craig
Jeff Singer
Lorna McDonald
Adam Dugdale
Samuel Hunt
Adrian Stokes
Sophie Davison
Warren Harvey
Eileen Mayo
Allegra Byron
Maria Francesca Rossetti
Margaret Bryan
Bronson Albery
Dorothy Percy
Veronica Ann Cross
Janet Lane-Claypon
Frances Walsingham
Jonathan Trott
Charles Valentine Riley
Francis Dereham
Lady Jane Seymour
Pete Barnacle
Robert Sherard
Peregrine Bertie
Margaret Roper
Edith the Fair
Mary Fitton
Richard Mansfield
Eleanor Clifford
Kitty Fisher
Arthur Gore
Madge Gill
Montague Druitt
William Rothenstein
Martha Tabram
Valentine Bambrick
James Maybrick
Amy Robsart
Thomas Culpeper
Claire Clairmont
John Ball
Roger Mortimer
Calico Jack
Robert FitzRoy
Sir William Gull
Mary de Bohun
Max Beerbohm
Philip Sidney
Susan Barrantes
Reginald Pole
Lady Eleanor Talbot
Margaret of York
Katherine Swynford
Nicholas Bacon
Mary Anning
Mother Shipton
Sue Trinder
Al Shaw
Violet Blythe
Harvey Scrimshaw
Wyn Richmond
Horace Kenney
Jessica Hamilton
Henryetta Edwards
Thomas Hopkin
David Nellist
Paul Tucker
Lady Ursula Misseldon
Katharine McEwan
Charles Aitken
Tim West
Perlita Neilson
Stephen Reed
Phyllis Monkman
Robert Hale
Francis Dereham
Cardinal Reginald Pole
Sir Francis Bryan
Thomas Wyatt
Alan Pickford
Henry Tudor
Poppy Rush
June Page
Edward Dentith
Wilfred Noy
Sylvia Andrew
Evelyn Beresford
Olwen Brookes
Spencer Chapman
Richard Addinsell
Lord Percy
Morgan Fisher
Bishop Gardiner
Shona de Bradeny
Lucy Fleetwood
Roy Boutcher
Daniel Tuite
Alan Morrissey
Grant Kempster
Sir Walter Raleigh
Ryan Pope
Fred De Bradeny
The Duke of Norfolk
Anthony Jacobs
Elizabeth Cockbayne
Mike Pearson
Liam McGough
FunnyPranks
Leonora Carrington
John Everett Millais
Frederic George Stephens
Wilson Benge
Lauri Lupino Lane
Harry Wagstaff Gribble
Thomas Wolsey
Sarah Newton
Beryl Johnstone
Marjorie Wood
John Van Druten
Stephen Thorne
John Milton
Sean Lynch
Sylvia Kay
Terry Downes
Les Blair
Stephanie Berrington
Adam Astill
H.H. Asquith
Will Stanton
Simon Meacock
Alma Lawton
Tim Firth
Luke de Woolfson
Richard Graydon
Chris Read
Sarah Vernon
Chris Hainstock
Chic Waterson
Bernard Freyberg
Adam Dawson
Dan Flint
Jessica Sykes
Sophie Spencer
Mark Cuppello
Reginald Machell
Stephen Harold Spender
Stuart Humphryes
Amy Walsh
Fanny Vining
Jane Harper
Rebekah Vardy
Lily Fortescue
Gale Booth
Elizabeth  Jervis
Milly McKenna
Rosemary Hume
Candice Blackburn
Neil Southerland
Nemo James
Edith Forne
Jassie Mortimer
Rob Callender
Louise Pentland
Mike Grose
Steven J. Jobes
Priscilla Kemble
Rory Burns
Sir Edward Warner
Joan Marshall More
Agnes Graunger
Caroline Starr Balestier
Charles Aston Key
Alice Perrers
Sir Humphrey Bourchier
Thomas Stanley
Lucy Wayte
Anne Dormer
Ralph Scrope
Katherine Stafford
Margaret Mortimer
Sir Edward Borough
Vic Steele
Lewis Burton
Christopher Karloff
Wolfy Millington
Edmund Reid
Lucy Donnelly
Gwenda Hawkes
Will Doyle
Rebeka Choudhury
Theodora Lisle Prankerd
Dave Dufort
Gaynor Kay Mellor
Andrew Undershaft
Jane Hope
Jessie Hawkes
Sydney Bowles
Martin Behrman
Vanessa Whistler
John E. Kellerd
Leedham Bantock
Cosh Omar
Elizabeth Wyckes
Richard Eyre
Lee Simpson
Alp Mehmet
Rosa Corder
Dorothy Stafford
Robert James Lees
Isabella de Beauchamp
